job_id,title,company,level,employment_type,remote_policy,pay_usd_min,pay_usd_max,location_city,location_state,office_lat,office_lon,days_in_office_per_week,one_way_commute_miles,weekly_commute_miles,skills,manual_match,job_score,score_pay,score_commute,score_match,source_url,date_posted,date_added,raw_data_path,notes
a68cb8ec3249,Senior Data Analyst,BeaverBite Analytics,senior,full_time,remote,135000.0,155000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, Tableau, pandas, A/B testing",9,92.9,0.91,1.0,0.9,,,2026-08-20,,
066548e2e43c,Food Data Scientist,Frosty Fork Labs,mid,full_time,hybrid,125000.0,145000.0,Louisville,KY,,,2.0,45.0,180.0,"Python, scikit-learn, SQL, food science domain",8,62.0,0.85,0.0,0.8,,,2026-08-20,,
7287cfa38a95,Analytics Engineer,Maple & Metric,senior,full_time,remote,140000.0,165000.0,Remote,,,,0.0,0.0,0.0,"dbt, Snowflake, Python, Looker",9,94.7,0.955,1.0,0.9,,,2026-08-20,,
8a3cbac6d3d9,Business Intelligence Analyst,Creekside Consumer Co,mid,full_time,hybrid,105000.0,125000.0,Lexington,KY,,,3.0,55.0,330.0,"SQL, Power BI, Excel, Python",7,53.7,0.73,0.0,0.7,,,2026-08-20,,
3a19fd156102,Junior Data Analyst,Pawprint Pet Foods,junior,full_time,remote,85000.0,100000.0,Remote,,,,0.0,0.0,0.0,"SQL, Tableau, Excel",6,66.2,0.505,1.0,0.6,,,2026-08-20,,
5d6be6dfb38a,Data Analyst,Bluegrass Brewing Data,mid,full_time,onsite,95000.0,115000.0,Frankfort,KY,,,5.0,70.0,700.0,"SQL, Python, Excel",5,40.4,0.573,0.0,0.5,,,2026-08-20,,
b3743d4484e5,Marketing Data Analyst,Frozen Falls Marketing,mid,full_time,hybrid,100000.0,120000.0,Hazard,KY,,,2.0,90.0,360.0,"Google Analytics, SQL, Python",6,45.0,0.6,0.0,0.6,,,2026-08-20,,
cb410c1169d5,Data Analyst,Oak & Open Data,junior,full_time,remote,130000.0,112000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",8,83.6,0.766,1.0,0.8,,,2026-08-20,,
c919ca6e8745,BI Developer,Oak & Open Data,senior,full_time,remote,119000.0,113000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",9,85.9,0.736,1.0,0.9,,,2026-08-20,,
81324d276a43,Senior Analyst,Oak & Open Data,junior,full_time,onsite,121000.0,125000.0,Somewhere KY,KY,,,2.0,30.0,120.0,"Python, SQL, pandas",9,67.6,0.778,0.2,0.9,,,2026-08-20,,
856dcb1be2ec,Senior Analyst,Oak & Open Data,senior,full_time,onsite,120000.0,118000.0,Somewhere KY,KY,,,3.0,34.0,204.0,"Python, SQL, pandas",8,58.2,0.754,0.0,0.8,,,2026-08-20,,
5cca5a1564ee,Analytics Specialist,Cascade Metrics,senior,full_time,hybrid,97000.0,137000.0,Somewhere KY,KY,,,2.0,24.0,96.0,"Python, SQL, pandas",7,63.2,0.742,0.36,0.7,,,2026-08-20,,
8660fe86b398,Analytics Specialist,Summit Snack Co,junior,full_time,onsite,92000.0,116000.0,Somewhere KY,KY,,,3.0,52.0,312.0,"Python, SQL, pandas",6,43.7,0.567,0.0,0.6,,,2026-08-20,,
58c0998386ff,Senior Analyst,Cascade Metrics,senior,full_time,hybrid,121000.0,132000.0,Somewhere KY,KY,,,5.0,44.0,440.0,"Python, SQL, pandas",6,53.0,0.799,0.0,0.6,,,2026-08-20,,
848a30ac4c52,Senior Analyst,Summit Snack Co,junior,full_time,remote,103000.0,119000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",5,70.7,0.706,1.0,0.5,,,2026-08-20,,
16d965f1dd25,Analytics Specialist,Cloudberry Insights,junior,full_time,onsite,105000.0,144000.0,Somewhere KY,KY,,,5.0,46.0,460.0,"Python, SQL, pandas",7,56.0,0.787,0.0,0.7,,,2026-08-20,,
a7a4841d55a7,Senior Analyst,Summit Snack Co,junior,full_time,hybrid,130000.0,137000.0,Somewhere KY,KY,,,3.0,60.0,360.0,"Python, SQL, pandas",6,54.6,0.841,0.0,0.6,,,2026-08-20,,
58436a405482,Senior Analyst,Cascade Metrics,junior,full_time,onsite,123000.0,150000.0,Somewhere KY,KY,,,5.0,47.0,470.0,"Python, SQL, pandas",6,55.4,0.859,0.0,0.6,,,2026-08-20,,
b8a6f8b5dc20,Analytics Specialist,Oak & Open Data,junior,full_time,onsite,126000.0,122000.0,Somewhere KY,KY,,,5.0,33.0,330.0,"Python, SQL, pandas",8,59.4,0.784,0.0,0.8,,,2026-08-20,,
